2024-10-05 12:12:27 | Felipe Barbosa | AlphaTauri | 110.103
2024-10-05 10:53:16 | Gabriel Souza | Alfa Romeo | 113.65
2024-10-05 14:39:26 | Rafael Rocha | Alpine | 113.65
2024-10-05 11:52:33 | Felipe Barbosa | Haas | 113.654
2024-10-05 15:44:41 | Marcos Costa | AlphaTauri | 113.654
2024-10-05 11:05:30 | Felipe Barbosa | Williams | 113.656
2024-10-05 16:42:57 | Felipe Barbosa | Red Bull Racing | 113.666
2024-10-05 17:47:36 | Pedro Oliveira | Mercedes | 113.666
2024-10-05 16:29:35 | José Ferreira | Mercedes | 113.67
2024-10-05 12:25:05 | Thiago Mendes | Ferrari | 113.67
2024-10-05 14:48:23 | José Ferreira | Williams | 113.672
2024-10-05 13:05:47 | José Ferreira | McLaren | 113.674
2024-10-05 11:55:50 | Leonardo Almeida | Red Bull Racing | 113.674
2024-10-05 10:47:50 | Leonardo Almeida | McLaren | 113.675
2024-10-05 13:41:50 | Marcos Costa | Mercedes | 113.68
2024-10-05 18:28:09 | Thiago Mendes | Alpine | 113.684
2024-10-05 10:37:57 | Gabriel Souza | Red Bull Racing | 113.688
2024-10-05 11:40:58 | Leonardo Almeida | Red Bull Racing | 113.693
2024-10-05 15:28:27 | Fernando Silva | Haas | 113.694
2024-10-05 17:55:58 | Rafael Rocha | Red Bull Racing | 113.699
2024-10-05 12:18:03 | Felipe Barbosa | Williams | 113.702
2024-10-05 10:56:42 | Gabriel Souza | Aston Martin | 113.703
2024-10-05 14:07:34 | Felipe Barbosa | Williams | 113.704
2024-10-05 16:08:02 | Lucas Silva | Aston Martin | 113.704
2024-10-05 18:13:29 | José Ferreira | Haas | 113.705
2024-10-05 11:37:42 | Thiago Mendes | Ferrari | 113.706
2024-10-05 12:46:40 | Lucas Silva | Alpine | 113.707
2024-10-05 15:08:59 | Thiago Mendes | Ferrari | 113.714
2024-10-05 18:16:16 | Thiago Mendes | Red Bull Racing | 113.715
2024-10-05 15:22:38 | Pedro Oliveira | Williams | 113.717
2024-10-05 12:33:00 | Gabriel Souza | Red Bull Racing | 113.718
2024-10-05 10:21:29 | Vinícius Pereira | McLaren | 113.722
2024-10-05 15:25:58 | Carlos Andrade | AlphaTauri | 113.723
2024-10-05 16:57:29 | Rafael Rocha | Alpine | 113.723
2024-10-05 13:10:07 | Pedro Oliveira | Alpine | 113.725
2024-10-05 14:04:38 | Leonardo Almeida | AlphaTauri | 113.73
2024-10-05 15:05:05 | Gabriel Souza | Mercedes | 113.733
2024-10-05 11:17:40 | Rafael Rocha | Alpine | 113.735
2024-10-05 15:51:29 | Gabriel Souza | Williams | 113.737
2024-10-05 12:28:35 | Thiago Mendes | Mercedes | 113.738
2024-10-05 18:53:30 | Pedro Oliveira | Williams | 113.74
2024-10-05 17:15:11 | Thiago Mendes | Williams | 113.746
2024-10-05 11:15:31 | Felipe Barbosa | McLaren | 113.748
2024-10-05 12:33:38 | Lucas Silva | Haas | 113.748
2024-10-05 12:18:06 | Leonardo Almeida | McLaren | 113.752
2024-10-05 18:16:51 | Lucas Silva | McLaren | 113.752
2024-10-05 12:45:20 | Carlos Andrade | Williams | 113.755
2024-10-05 10:55:18 | Leonardo Almeida | Alfa Romeo | 113.756
2024-10-05 13:52:45 | José Ferreira | Red Bull Racing | 113.758
2024-10-05 14:26:08 | Fernando Silva | Red Bull Racing | 113.759
2024-10-05 17:18:57 | Felipe Barbosa | Ferrari | 113.76
2024-10-05 18:47:20 | Leonardo Almeida | Aston Martin | 113.76
2024-10-05 12:20:12 | Pedro Oliveira | Mercedes | 113.762
2024-10-05 15:49:37 | José Ferreira | Haas | 113.769
2024-10-05 11:24:25 | Pedro Oliveira | McLaren | 113.769
2024-10-05 11:43:28 | Marcos Costa | Alfa Romeo | 113.773
2024-10-05 16:30:07 | Vinícius Pereira | Aston Martin | 113.773
2024-10-05 17:57:28 | Felipe Barbosa | Williams | 113.778
2024-10-05 18:12:04 | Lucas Silva | Williams | 113.783
2024-10-05 11:09:52 | Rafael Rocha | Williams | 113.783
2024-10-05 17:53:35 | Thiago Mendes | Alpine | 113.784
2024-10-05 15:51:46 | Fernando Silva | McLaren | 113.789
2024-10-05 11:40:56 | Gabriel Souza | Mercedes | 113.789
2024-10-05 12:51:05 | Marcos Costa | Mercedes | 113.79
2024-10-05 16:35:36 | Leonardo Almeida | Haas | 113.791
2024-10-05 13:35:19 | Marcos Costa | Mercedes | 113.795
2024-10-05 11:15:18 | Carlos Andrade | Alfa Romeo | 113.797
2024-10-05 18:49:51 | Felipe Barbosa | Alpine | 113.8
2024-10-05 13:14:10 | Marcos Costa | Alfa Romeo | 113.8
2024-10-05 14:07:41 | Vinícius Pereira | Aston Martin | 113.806
2024-10-05 11:13:33 | Carlos Andrade | Alfa Romeo | 113.807
2024-10-05 14:15:59 | Rafael Rocha | Alpine | 113.808
2024-10-05 14:24:29 | Fernando Silva | Alpine | 113.809
2024-10-05 10:50:04 | Leonardo Almeida | Mercedes | 113.809
2024-10-05 17:19:13 | Carlos Andrade | Williams | 113.814
2024-10-05 16:10:40 | Marcos Costa | Aston Martin | 113.815
2024-10-05 16:49:40 | Thiago Mendes | Williams | 113.816
2024-10-05 18:55:57 | Marcos Costa | Alfa Romeo | 113.819
2024-10-05 12:33:45 | Lucas Silva | Haas | 113.828
2024-10-05 10:23:18 | Vinícius Pereira | Alpine | 113.83
2024-10-05 17:27:28 | Vinícius Pereira | Aston Martin | 113.831
2024-10-05 18:51:34 | Lucas Silva | Haas | 113.834
2024-10-05 12:50:25 | Fernando Silva | AlphaTauri | 113.836
2024-10-05 18:34:52 | Felipe Barbosa | Haas | 113.84
2024-10-05 15:14:59 | Marcos Costa | Aston Martin | 113.843
2024-10-05 11:24:05 | Rafael Rocha | Mercedes | 113.843
2024-10-05 16:32:03 | Lucas Silva | Mercedes | 113.844
2024-10-05 16:53:56 | Gabriel Souza | Williams | 113.846
2024-10-05 15:48:04 | Felipe Barbosa | AlphaTauri | 113.848
2024-10-05 10:09:36 | José Ferreira | Ferrari | 113.848
2024-10-05 18:45:51 | José Ferreira | Haas | 113.848
2024-10-05 11:21:36 | Pedro Oliveira | Ferrari | 113.851
2024-10-05 17:57:14 | Pedro Oliveira | Red Bull Racing | 113.853
2024-10-05 10:14:02 | Carlos Andrade | Aston Martin | 113.854
2024-10-05 15:42:53 | Gabriel Souza | Red Bull Racing | 113.854
2024-10-05 17:52:14 | Leonardo Almeida | Mercedes | 113.856
2024-10-05 10:53:27 | Pedro Oliveira | Aston Martin | 113.858
2024-10-05 18:58:53 | Pedro Oliveira | Williams | 113.861
2024-10-05 18:10:41 | Lucas Silva | McLaren | 113.862
2024-10-05 16:42:05 | Rafael Rocha | Ferrari | 113.862
2024-10-05 17:57:08 | José Ferreira | Alfa Romeo | 113.865
2024-10-05 16:57:56 | Vinícius Pereira | Williams | 113.865
2024-10-05 18:41:57 | Gabriel Souza | Mercedes | 113.866
2024-10-05 18:22:14 | Gabriel Souza | AlphaTauri | 113.866
2024-10-05 17:43:33 | Rafael Rocha | Williams | 113.866
2024-10-05 18:33:16 | Thiago Mendes | AlphaTauri | 113.867
2024-10-05 16:15:11 | Carlos Andrade | Aston Martin | 113.868
2024-10-05 17:56:29 | Marcos Costa | McLaren | 113.868
2024-10-05 11:32:57 | Pedro Oliveira | Haas | 113.877
2024-10-05 16:00:53 | Carlos Andrade | Williams | 113.888
2024-10-05 13:47:28 | Gabriel Souza | Ferrari | 113.889
2024-10-05 12:32:35 | Fernando Silva | Haas | 113.891
2024-10-05 18:37:53 | Lucas Silva | Alpine | 113.894
2024-10-05 14:56:38 | Thiago Mendes | Haas | 113.894
2024-10-05 13:58:03 | Leonardo Almeida | AlphaTauri | 113.896
2024-10-05 16:56:04 | Lucas Silva | AlphaTauri | 113.896
2024-10-05 16:02:00 | Felipe Barbosa | Alfa Romeo | 113.897
2024-10-05 13:28:03 | Pedro Oliveira | Red Bull Racing | 113.897
2024-10-05 12:38:38 | Carlos Andrade | Aston Martin | 113.898
2024-10-05 14:26:25 | Carlos Andrade | Mercedes | 113.898
2024-10-05 14:51:58 | José Ferreira | Alpine | 113.9
2024-10-05 14:31:57 | Marcos Costa | Haas | 113.902
2024-10-05 16:37:41 | Rafael Rocha | McLaren | 113.902
2024-10-05 15:35:50 | Lucas Silva | Aston Martin | 113.903
2024-10-05 12:30:00 | Pedro Oliveira | Aston Martin | 113.903
2024-10-05 14:48:38 | Vinícius Pereira | Red Bull Racing | 113.904
2024-10-05 16:17:39 | Rafael Rocha | Red Bull Racing | 113.907
2024-10-05 18:49:05 | Lucas Silva | AlphaTauri | 113.908
2024-10-05 18:55:58 | Vinícius Pereira | Aston Martin | 113.909
2024-10-05 13:51:07 | Carlos Andrade | Mercedes | 113.911
2024-10-05 13:23:50 | Gabriel Souza | Ferrari | 113.911
2024-10-05 15:03:42 | Fernando Silva | Ferrari | 113.914
2024-10-05 10:51:39 | Vinícius Pereira | Aston Martin | 113.917
2024-10-05 13:23:44 | Fernando Silva | McLaren | 113.918
2024-10-05 15:34:45 | Lucas Silva | Williams | 113.918
2024-10-05 10:58:37 | Marcos Costa | Ferrari | 113.919
2024-10-05 17:21:06 | Leonardo Almeida | Red Bull Racing | 113.921
2024-10-05 12:01:53 | Lucas Silva | Alpine | 113.921
2024-10-05 16:44:47 | Vinícius Pereira | Ferrari | 113.925
2024-10-05 16:11:46 | Felipe Barbosa | Alfa Romeo | 113.94
2024-10-05 11:24:31 | José Ferreira | Mercedes | 113.94
2024-10-05 12:07:15 | José Ferreira | Haas | 113.94
2024-10-05 13:33:24 | Rafael Rocha | Williams | 113.943
2024-10-05 15:17:08 | Carlos Andrade | Williams | 113.947
2024-10-05 14:33:31 | Carlos Andrade | AlphaTauri | 113.956
2024-10-05 14:07:41 | Felipe Barbosa | AlphaTauri | 113.956
2024-10-05 10:27:04 | Lucas Silva | Haas | 113.958
2024-10-05 10:57:26 | Vinícius Pereira | AlphaTauri | 113.96
2024-10-05 18:42:44 | Thiago Mendes | Red Bull Racing | 113.963
2024-10-05 18:25:15 | Thiago Mendes | Alpine | 113.965
2024-10-05 12:59:54 | Marcos Costa | Williams | 113.966
2024-10-05 17:29:05 | Pedro Oliveira | Haas | 113.967
2024-10-05 11:01:19 | Rafael Rocha | Mercedes | 113.97
2024-10-05 17:00:51 | José Ferreira | Red Bull Racing | 113.974
2024-10-05 10:40:03 | Lucas Silva | Alpine | 113.975
2024-10-05 18:45:35 | Rafael Rocha | Alpine | 113.976
2024-10-05 18:35:22 | Pedro Oliveira | Aston Martin | 113.977
2024-10-05 11:36:54 | Thiago Mendes | AlphaTauri | 113.977
2024-10-05 13:51:37 | Carlos Andrade | AlphaTauri | 113.979
2024-10-05 16:51:00 | Rafael Rocha | Ferrari | 113.979
2024-10-05 16:03:11 | Fernando Silva | Alfa Romeo | 113.982
2024-10-05 18:56:51 | Lucas Silva | Haas | 113.983
2024-10-05 13:50:20 | Lucas Silva | Haas | 113.986
2024-10-05 18:36:53 | Carlos Andrade | AlphaTauri | 113.988
2024-10-05 15:04:35 | Gabriel Souza | Haas | 113.99
2024-10-05 17:29:11 | Thiago Mendes | Alpine | 113.993
2024-10-05 11:58:47 | Pedro Oliveira | Alfa Romeo | 113.994
2024-10-05 15:18:58 | Marcos Costa | Williams | 113.995
2024-10-05 10:44:08 | Leonardo Almeida | Williams | 113.998
2024-10-05 11:51:35 | Rafael Rocha | Williams | 113.998
2024-10-05 18:16:37 | Rafael Rocha | McLaren | 114.102
2024-10-05 11:33:41 | Felipe Barbosa | Alfa Romeo | 114.103
2024-10-05 15:32:25 | Gabriel Souza | McLaren | 114.107
2024-10-05 14:30:56 | Thiago Mendes | Mercedes | 114.107
2024-10-05 11:38:10 | Thiago Mendes | Haas | 114.107
2024-10-05 15:32:59 | Thiago Mendes | Alfa Romeo | 114.11
2024-10-05 16:45:35 | Marcos Costa | Williams | 114.111
2024-10-05 11:23:55 | Fernando Silva | Red Bull Racing | 114.114
2024-10-05 10:05:05 | Vinícius Pereira | Aston Martin | 114.116
2024-10-05 17:47:04 | Thiago Mendes | Aston Martin | 114.117
2024-10-05 12:00:36 | Carlos Andrade | AlphaTauri | 114.12
2024-10-05 11:54:44 | Gabriel Souza | Williams | 114.12
2024-10-05 12:53:41 | Lucas Silva | McLaren | 114.12
2024-10-05 18:06:47 | Carlos Andrade | Aston Martin | 114.121
2024-10-05 13:51:53 | Felipe Barbosa | Ferrari | 114.123
2024-10-05 16:24:39 | Carlos Andrade | Alfa Romeo | 114.125
2024-10-05 13:56:42 | Felipe Barbosa | Alpine | 114.126
2024-10-05 12:02:02 | Fernando Silva | Mercedes | 114.126
2024-10-05 10:27:03 | Thiago Mendes | McLaren | 114.126
2024-10-05 10:38:48 | Gabriel Souza | AlphaTauri | 114.13
2024-10-05 10:28:24 | José Ferreira | AlphaTauri | 114.13
2024-10-05 17:24:47 | Pedro Oliveira | Red Bull Racing | 114.133
2024-10-05 14:07:39 | Felipe Barbosa | Ferrari | 114.134
2024-10-05 18:47:16 | José Ferreira | Haas | 114.134
2024-10-05 18:58:57 | Rafael Rocha | Ferrari | 114.134
2024-10-05 14:18:32 | Lucas Silva | Alpine | 114.136
2024-10-05 18:21:36 | Marcos Costa | Ferrari | 114.137
2024-10-05 10:47:12 | Gabriel Souza | Haas | 114.138
2024-10-05 15:39:42 | Fernando Silva | Ferrari | 114.139
2024-10-05 10:37:52 | Pedro Oliveira | McLaren | 114.141
2024-10-05 18:51:56 | José Ferreira | Mercedes | 114.144
2024-10-05 10:45:14 | José Ferreira | Ferrari | 114.144
2024-10-05 15:03:47 | Carlos Andrade | Mercedes | 114.146
2024-10-05 10:54:20 | Lucas Silva | Red Bull Racing | 114.146
2024-10-05 17:46:46 | Marcos Costa | Ferrari | 114.149
2024-10-05 12:58:26 | Rafael Rocha | Red Bull Racing | 114.149
2024-10-05 16:16:14 | Pedro Oliveira | Alfa Romeo | 114.15
2024-10-05 13:49:25 | Leonardo Almeida | Ferrari | 114.151
2024-10-05 12:15:38 | Pedro Oliveira | Ferrari | 114.157
2024-10-05 15:38:47 | Thiago Mendes | Alpine | 114.158
2024-10-05 12:54:37 | Marcos Costa | Ferrari | 114.159
2024-10-05 18:56:43 | Fernando Silva | Haas | 114.164
2024-10-05 12:24:32 | Vinícius Pereira | Alfa Romeo | 114.164
2024-10-05 17:49:55 | Gabriel Souza | AlphaTauri | 114.166
2024-10-05 13:56:28 | Lucas Silva | Ferrari | 114.167
2024-10-05 15:04:52 | Fernando Silva | Red Bull Racing | 114.168
2024-10-05 14:31:59 | José Ferreira | Aston Martin | 114.171
2024-10-05 14:22:52 | Rafael Rocha | Ferrari | 114.171
2024-10-05 11:32:10 | Rafael Rocha | Haas | 114.172
2024-10-05 17:19:51 | Felipe Barbosa | Alpine | 114.173
2024-10-05 12:16:48 | Marcos Costa | Red Bull Racing | 114.176
2024-10-05 12:46:35 | Carlos Andrade | Mercedes | 114.178
2024-10-05 17:12:15 | Carlos Andrade | Mercedes | 114.179
2024-10-05 12:22:58 | Rafael Rocha | Alfa Romeo | 114.18
2024-10-05 17:49:52 | Thiago Mendes | McLaren | 114.18
2024-10-05 11:09:02 | José Ferreira | McLaren | 114.184
2024-10-05 12:41:32 | Thiago Mendes | AlphaTauri | 114.185
2024-10-05 10:09:41 | Marcos Costa | Haas | 114.192
2024-10-05 18:31:56 | Vinícius Pereira | Haas | 114.192
2024-10-05 15:22:07 | Carlos Andrade | Williams | 114.193
2024-10-05 14:10:06 | Leonardo Almeida | Alfa Romeo | 114.195
2024-10-05 10:22:09 | Vinícius Pereira | Williams | 114.195
2024-10-05 11:24:19 | Marcos Costa | Red Bull Racing | 114.196
2024-10-05 13:48:04 | Marcos Costa | McLaren | 114.196
2024-10-05 15:15:06 | Vinícius Pereira | Ferrari | 114.196
2024-10-05 13:52:08 | Lucas Silva | AlphaTauri | 114.199
2024-10-05 10:19:10 | Thiago Mendes | Williams | 114.202
2024-10-05 17:37:21 | José Ferreira | McLaren | 114.203
2024-10-05 16:52:46 | José Ferreira | AlphaTauri | 114.205
2024-10-05 18:55:17 | José Ferreira | Mercedes | 114.211
2024-10-05 10:56:24 | Marcos Costa | Ferrari | 114.211
2024-10-05 14:14:30 | Marcos Costa | Alfa Romeo | 114.214
2024-10-05 12:46:26 | Thiago Mendes | Haas | 114.216
2024-10-05 18:44:19 | Felipe Barbosa | McLaren | 114.219
2024-10-05 17:41:57 | José Ferreira | McLaren | 114.219
2024-10-05 10:03:35 | Pedro Oliveira | Red Bull Racing | 114.22
2024-10-05 16:05:55 | Vinícius Pereira | Aston Martin | 114.22
2024-10-05 17:36:17 | Rafael Rocha | Red Bull Racing | 114.223
2024-10-05 10:37:00 | Leonardo Almeida | Ferrari | 114.229
2024-10-05 11:59:34 | Leonardo Almeida | Alfa Romeo | 114.231
2024-10-05 10:04:05 | Thiago Mendes | Alfa Romeo | 114.232
2024-10-05 14:02:41 | Pedro Oliveira | Red Bull Racing | 114.234
2024-10-05 15:32:04 | Felipe Barbosa | Haas | 114.237
2024-10-05 13:10:20 | Fernando Silva | Ferrari | 114.24
2024-10-05 16:33:58 | Lucas Silva | Ferrari | 114.241
2024-10-05 15:10:32 | Pedro Oliveira | Alpine | 114.241
2024-10-05 15:17:35 | Vinícius Pereira | Ferrari | 114.241
2024-10-05 10:08:46 | José Ferreira | Haas | 114.25
2024-10-05 15:59:31 | Gabriel Souza | Ferrari | 114.251
2024-10-05 18:08:23 | Thiago Mendes | McLaren | 114.253
2024-10-05 14:05:41 | Vinícius Pereira | Red Bull Racing | 114.259
2024-10-05 18:18:32 | Vinícius Pereira | Aston Martin | 114.261
2024-10-05 18:00:29 | Lucas Silva | Mercedes | 114.265
2024-10-05 10:13:11 | Rafael Rocha | McLaren | 114.266
2024-10-05 10:42:49 | Thiago Mendes | AlphaTauri | 114.266
2024-10-05 14:06:52 | José Ferreira | Ferrari | 114.269
2024-10-05 18:39:31 | Pedro Oliveira | Williams | 114.269
2024-10-05 13:37:24 | Marcos Costa | AlphaTauri | 114.27
2024-10-05 10:17:33 | Fernando Silva | Alpine | 114.275
2024-10-05 14:26:18 | José Ferreira | Mercedes | 114.276
2024-10-05 11:37:06 | Leonardo Almeida | Alpine | 114.277
2024-10-05 18:20:45 | Lucas Silva | Alpine | 114.277
2024-10-05 10:09:21 | Vinícius Pereira | Ferrari | 114.278
2024-10-05 17:14:27 | Lucas Silva | Alpine | 114.281
2024-10-05 14:56:40 | Gabriel Souza | Red Bull Racing | 114.287
2024-10-05 17:23:54 | Lucas Silva | Williams | 114.292
2024-10-05 12:21:11 | Vinícius Pereira | Aston Martin | 114.294
2024-10-05 17:47:33 | Lucas Silva | Ferrari | 114.296
2024-10-05 15:48:24 | Thiago Mendes | Alpine | 114.296
2024-10-05 11:36:41 | Thiago Mendes | AlphaTauri | 114.298
2024-10-05 15:13:13 | Vinícius Pereira | Aston Martin | 114.303
2024-10-05 18:57:13 | Fernando Silva | Mercedes | 114.304
2024-10-05 11:21:18 | Lucas Silva | McLaren | 114.307
2024-10-05 18:13:16 | Leonardo Almeida | AlphaTauri | 114.309
2024-10-05 15:37:31 | Lucas Silva | AlphaTauri | 114.31
2024-10-05 10:17:38 | Marcos Costa | McLaren | 114.31
2024-10-05 10:14:38 | Lucas Silva | Alfa Romeo | 114.314
2024-10-05 18:27:11 | Thiago Mendes | Red Bull Racing | 114.316
2024-10-05 12:00:33 | Leonardo Almeida | Ferrari | 114.317
2024-10-05 10:13:56 | Rafael Rocha | AlphaTauri | 114.32
2024-10-05 13:42:18 | Pedro Oliveira | Alfa Romeo | 114.321
2024-10-05 10:07:30 | Thiago Mendes | Alfa Romeo | 114.324
2024-10-05 11:58:05 | Pedro Oliveira | Alfa Romeo | 114.325
2024-10-05 17:05:12 | Vinícius Pereira | Alfa Romeo | 114.325
2024-10-05 15:20:51 | Leonardo Almeida | Ferrari | 114.327
2024-10-05 15:17:27 | Thiago Mendes | AlphaTauri | 114.328
2024-10-05 14:11:14 | Vinícius Pereira | Red Bull Racing | 114.328
2024-10-05 18:52:35 | Marcos Costa | AlphaTauri | 114.329
2024-10-05 13:29:42 | Pedro Oliveira | Haas | 114.329
2024-10-05 14:36:27 | Gabriel Souza | Mercedes | 114.33
2024-10-05 11:06:26 | Marcos Costa | Williams | 114.33
2024-10-05 10:34:21 | Vinícius Pereira | Alpine | 114.334
2024-10-05 14:18:58 | Vinícius Pereira | Ferrari | 114.334
2024-10-05 10:43:55 | Leonardo Almeida | Haas | 114.34
2024-10-05 11:21:08 | Lucas Silva | McLaren | 114.341
2024-10-05 13:05:07 | Carlos Andrade | Aston Martin | 114.342
2024-10-05 13:44:21 | Vinícius Pereira | Ferrari | 114.342
2024-10-05 15:33:00 | Marcos Costa | Alpine | 114.344
2024-10-05 16:08:47 | Carlos Andrade | Alpine | 114.345
2024-10-05 10:47:00 | José Ferreira | McLaren | 114.346
2024-10-05 16:14:14 | Marcos Costa | Mercedes | 114.347
2024-10-05 15:45:32 | Vinícius Pereira | Aston Martin | 114.35
2024-10-05 13:41:58 | Rafael Rocha | AlphaTauri | 114.351
2024-10-05 10:50:16 | Felipe Barbosa | Haas | 114.353
2024-10-05 15:27:42 | Fernando Silva | McLaren | 114.353
2024-10-05 18:29:28 | Fernando Silva | AlphaTauri | 114.353
2024-10-05 10:36:59 | José Ferreira | McLaren | 114.353
2024-10-05 12:08:39 | Carlos Andrade | AlphaTauri | 114.359
2024-10-05 13:04:23 | Felipe Barbosa | Red Bull Racing | 114.359
2024-10-05 17:46:18 | Fernando Silva | Aston Martin | 114.359
2024-10-05 15:43:10 | Pedro Oliveira | Mercedes | 114.359
2024-10-05 18:51:03 | José Ferreira | Red Bull Racing | 114.36
2024-10-05 15:48:01 | Thiago Mendes | Alfa Romeo | 114.36
2024-10-05 15:01:29 | Marcos Costa | McLaren | 114.361
2024-10-05 16:45:48 | Carlos Andrade | McLaren | 114.363
2024-10-05 13:48:04 | Felipe Barbosa | McLaren | 114.366
2024-10-05 17:04:43 | Marcos Costa | Haas | 114.367
2024-10-05 16:17:57 | Felipe Barbosa | AlphaTauri | 114.371
2024-10-05 11:28:10 | Thiago Mendes | Alpine | 114.371
2024-10-05 11:33:18 | Fernando Silva | Haas | 114.373
2024-10-05 11:10:07 | Lucas Silva | Aston Martin | 114.373
2024-10-05 11:25:03 | Leonardo Almeida | McLaren | 114.375
2024-10-05 11:02:08 | Marcos Costa | McLaren | 114.375
2024-10-05 18:57:47 | Gabriel Souza | AlphaTauri | 114.378
2024-10-05 13:42:34 | Felipe Barbosa | McLaren | 114.379
2024-10-05 11:34:24 | Pedro Oliveira | AlphaTauri | 114.381
2024-10-05 14:44:18 | Gabriel Souza | Red Bull Racing | 114.384
2024-10-05 12:29:22 | Pedro Oliveira | Ferrari | 114.384
2024-10-05 15:21:18 | Felipe Barbosa | Alfa Romeo | 114.386
2024-10-05 13:41:16 | Felipe Barbosa | Red Bull Racing | 114.392
2024-10-05 15:50:32 | Carlos Andrade | Alpine | 114.395
2024-10-05 15:48:07 | Fernando Silva | Red Bull Racing | 114.395
2024-10-05 16:44:23 | Leonardo Almeida | McLaren | 114.395
2024-10-05 15:28:51 | Thiago Mendes | AlphaTauri | 114.395
2024-10-05 16:37:58 | Leonardo Almeida | Williams | 114.396
2024-10-05 18:01:09 | Thiago Mendes | Haas | 114.399
2024-10-05 18:57:11 | Leonardo Almeida | Red Bull Racing | 114.4
2024-10-05 14:35:39 | Thiago Mendes | AlphaTauri | 114.4
2024-10-05 16:55:13 | Thiago Mendes | Mercedes | 114.4
2024-10-05 14:22:33 | José Ferreira | Red Bull Racing | 114.401
2024-10-05 15:25:11 | Leonardo Almeida | Red Bull Racing | 114.401
2024-10-05 10:08:57 | Vinícius Pereira | Red Bull Racing | 114.405
2024-10-05 14:28:16 | Pedro Oliveira | Alfa Romeo | 114.408
2024-10-05 16:48:08 | Felipe Barbosa | McLaren | 114.411
2024-10-05 14:56:39 | Felipe Barbosa | AlphaTauri | 114.411
2024-10-05 10:07:24 | Felipe Barbosa | Haas | 114.413
2024-10-05 12:22:55 | Leonardo Almeida | Alpine | 114.415
2024-10-05 17:31:48 | Marcos Costa | Mercedes | 114.416
2024-10-05 12:17:46 | Vinícius Pereira | Mercedes | 114.417
2024-10-05 15:13:21 | Fernando Silva | Alpine | 114.422
2024-10-05 18:34:23 | José Ferreira | Alpine | 114.423
2024-10-05 15:39:49 | Gabriel Souza | Williams | 114.424
2024-10-05 15:43:09 | Lucas Silva | Mercedes | 114.426
2024-10-05 17:51:16 | Gabriel Souza | Mercedes | 114.429
2024-10-05 16:21:20 | Lucas Silva | AlphaTauri | 114.432
2024-10-05 14:40:30 | Carlos Andrade | McLaren | 114.438
2024-10-05 15:33:26 | Gabriel Souza | Aston Martin | 114.438
2024-10-05 11:25:12 | José Ferreira | Red Bull Racing | 114.438
2024-10-05 18:05:13 | Gabriel Souza | Haas | 114.439
2024-10-05 13:47:20 | Leonardo Almeida | AlphaTauri | 114.442
2024-10-05 14:53:55 | Leonardo Almeida | Aston Martin | 114.447
2024-10-05 17:19:13 | Felipe Barbosa | Mercedes | 114.448
2024-10-05 12:16:13 | Leonardo Almeida | Aston Martin | 114.451
2024-10-05 18:29:07 | Fernando Silva | Red Bull Racing | 114.453
2024-10-05 16:48:27 | Lucas Silva | AlphaTauri | 114.455
2024-10-05 11:00:10 | Felipe Barbosa | McLaren | 114.456
2024-10-05 10:14:18 | Fernando Silva | Red Bull Racing | 114.456
2024-10-05 13:11:34 | Vinícius Pereira | Williams | 114.457
2024-10-05 12:42:32 | Thiago Mendes | Williams | 114.465
2024-10-05 16:17:23 | Rafael Rocha | Williams | 114.469
2024-10-05 18:13:58 | Pedro Oliveira | Aston Martin | 114.471
2024-10-05 11:45:45 | Felipe Barbosa | Haas | 114.472
2024-10-05 18:35:16 | Fernando Silva | Alfa Romeo | 114.472
2024-10-05 17:56:35 | Fernando Silva | Mercedes | 114.473
2024-10-05 18:48:07 | José Ferreira | Red Bull Racing | 114.474
2024-10-05 12:45:43 | Rafael Rocha | Williams | 114.474
2024-10-05 12:22:25 | Lucas Silva | AlphaTauri | 114.476
2024-10-05 14:46:59 | Leonardo Almeida | AlphaTauri | 114.481
2024-10-05 11:58:48 | Thiago Mendes | Ferrari | 114.482
2024-10-05 13:55:35 | Fernando Silva | AlphaTauri | 114.484
2024-10-05 15:53:52 | Rafael Rocha | McLaren | 114.485
2024-10-05 16:48:58 | Lucas Silva | McLaren | 114.487
2024-10-05 10:55:27 | Pedro Oliveira | Alfa Romeo | 114.488
2024-10-05 10:10:20 | Pedro Oliveira | AlphaTauri | 114.489
2024-10-05 15:19:13 | José Ferreira | Haas | 114.49
2024-10-05 13:18:06 | Thiago Mendes | Alpine | 114.496
2024-10-05 15:18:01 | Pedro Oliveira | Mercedes | 114.498
2024-10-05 11:26:15 | Carlos Andrade | Mercedes | 114.503
2024-10-05 12:56:13 | Gabriel Souza | McLaren | 114.503
2024-10-05 14:16:08 | José Ferreira | Mercedes | 114.505
2024-10-05 18:45:54 | Thiago Mendes | Williams | 114.509
2024-10-05 16:43:47 | Leonardo Almeida | McLaren | 114.515
2024-10-05 15:49:52 | Fernando Silva | AlphaTauri | 114.52
2024-10-05 16:15:48 | Lucas Silva | Williams | 114.523
2024-10-05 18:30:21 | Marcos Costa | Haas | 114.524
2024-10-05 18:15:13 | José Ferreira | AlphaTauri | 114.526
2024-10-05 15:34:30 | Gabriel Souza | Alfa Romeo | 114.528
2024-10-05 14:46:46 | Marcos Costa | Williams | 114.528
2024-10-05 13:54:40 | Rafael Rocha | Alfa Romeo | 114.528
